id,allocation_run_id,gender_group,compatibility_score,members,room_number
Room 1,run_adf91595,Female_Computer Science_Yr4th Year,0.9986,"Student_2ab1a4b4::student_2ab1a4b4@example.com::Computer Science::4th Year,Student_3cd3d6ec::student_3cd3d6ec@example.com::Computer Science::4th Year,Student_5a3f4fbc::student_5a3f4fbc@example.com::Computer Science::4th Year",
Room 2,run_adf91595,Female_Computer Science_Yr4th Year,0.9982,"Student_d364a49a::student_d364a49a@example.com::Computer Science::4th Year,Student_c0440e60::student_c0440e60@example.com::Computer Science::4th Year,Student_39062733::student_39062733@example.com::Computer Science::4th Year",
Room 3,run_adf91595,Female_Computer Science_Yr4th Year,0.998,"Student_6d523f72::student_6d523f72@example.com::Computer Science::4th Year,Student_35c9ae3c::student_35c9ae3c@example.com::Computer Science::4th Year,Student_0d5894dc::student_0d5894dc@example.com::Computer Science::4th Year",
Room 4,run_adf91595,Female_Computer Science_Yr4th Year,0.9978,"Student_238433a5::student_238433a5@example.com::Computer Science::4th Year,Student_b798bcdf::student_b798bcdf@example.com::Computer Science::4th Year,Student_b8903f02::student_b8903f02@example.com::Computer Science::4th Year",
Room 5,run_adf91595,Female_Computer Science_Yr4th Year,0.9978,"Student_6705b263::student_6705b263@example.com::Computer Science::4th Year,Student_4f03987e::student_4f03987e@example.com::Computer Science::4th Year,Student_d230ad26::student_d230ad26@example.com::Computer Science::4th Year",
Room 6,run_adf91595,Female_Computer Science_Yr4th Year,0.9972,"Student_2b9599dd::student_2b9599dd@example.com::Computer Science::4th Year,Student_7052674b::student_7052674b@example.com::Computer Science::4th Year,Student_ac13b228::student_ac13b228@example.com::Computer Science::4th Year",
Room 7,run_adf91595,Female_Computer Science_Yr4th Year,0.997,"Student_137bf1ed::student_137bf1ed@example.com::Computer Science::4th Year,Student_1c5a4afa::student_1c5a4afa@example.com::Computer Science::4th Year,Student_cbdd3eb7::student_cbdd3eb7@example.com::Computer Science::4th Year",
Room 8,run_adf91595,Female_Computer Science_Yr4th Year,0.9967,"Student_15a495e1::student_15a495e1@example.com::Computer Science::4th Year,Student_bde0c051::student_bde0c051@example.com::Computer Science::4th Year,Student_ecbe369e::student_ecbe369e@example.com::Computer Science::4th Year",
Room 9,run_adf91595,Female_Computer Science_Yr4th Year,0.9967,"Student_71e3ad81::student_71e3ad81@example.com::Computer Science::4th Year,Student_13d3827e::student_13d3827e@example.com::Computer Science::4th Year,Student_2a6892ee::student_2a6892ee@example.com::Computer Science::4th Year",
Room 10,run_adf91595,Female_Computer Science_Yr4th Year,0.9963,"Student_eb2f9d9a::student_eb2f9d9a@example.com::Computer Science::4th Year,Student_c155a696::student_c155a696@example.com::Computer Science::4th Year,Student_b8056ac3::student_b8056ac3@example.com::Computer Science::4th Year",
Room 11,run_adf91595,Female_Computer Science_Yr4th Year,0.9961,"Student_b0c31ba1::student_b0c31ba1@example.com::Computer Science::4th Year,Student_47eab5ed::student_47eab5ed@example.com::Computer Science::4th Year,Student_27f6a5f2::student_27f6a5f2@example.com::Computer Science::4th Year",
Room 12,run_adf91595,Female_Computer Science_Yr4th Year,0.9961,"Student_f42cd039::student_f42cd039@example.com::Computer Science::4th Year,Student_0edea952::student_0edea952@example.com::Computer Science::4th Year,Student_a8f92995::student_a8f92995@example.com::Computer Science::4th Year",
Room 13,run_adf91595,Female_Computer Science_Yr4th Year,0.9961,"Student_7a219921::student_7a219921@example.com::Computer Science::4th Year,Student_2547ec43::student_2547ec43@example.com::Computer Science::4th Year,Student_62c42f96::student_62c42f96@example.com::Computer Science::4th Year",
Room 14,run_adf91595,Female_Computer Science_Yr4th Year,0.996,"Student_cf42b1ea::student_cf42b1ea@example.com::Computer Science::4th Year,Student_f756aafb::student_f756aafb@example.com::Computer Science::4th Year,Student_8bf51238::student_8bf51238@example.com::Computer Science::4th Year",
Room 15,run_adf91595,Female_Computer Science_Yr4th Year,0.996,"Student_dc7ec1cf::student_dc7ec1cf@example.com::Computer Science::4th Year,Student_b3814f36::student_b3814f36@example.com::Computer Science::4th Year,Student_9b47e74f::student_9b47e74f@example.com::Computer Science::4th Year",
Room 16,run_adf91595,Female_Computer Science_Yr4th Year,0.9958,"Student_7cd09a1f::student_7cd09a1f@example.com::Computer Science::4th Year,Student_f5e65967::student_f5e65967@example.com::Computer Science::4th Year,Student_6efc3aae::student_6efc3aae@example.com::Computer Science::4th Year",
Room 17,run_adf91595,Female_Computer Science_Yr4th Year,0.9955,"Student_5a7469a4::student_5a7469a4@example.com::Computer Science::4th Year,Student_dc34f464::student_dc34f464@example.com::Computer Science::4th Year,Student_fee49d34::student_fee49d34@example.com::Computer Science::4th Year",
Room 18,run_adf91595,Female_Computer Science_Yr4th Year,0.9954,"Student_e97d0e57::student_e97d0e57@example.com::Computer Science::4th Year,Student_c9b31400::student_c9b31400@example.com::Computer Science::4th Year,Student_271d2791::student_271d2791@example.com::Computer Science::4th Year",
Room 19,run_adf91595,Female_Computer Science_Yr4th Year,0.9953,"Student_c3011ed4::student_c3011ed4@example.com::Computer Science::4th Year,Student_2bdf55d2::student_2bdf55d2@example.com::Computer Science::4th Year,Student_1770c9d9::student_1770c9d9@example.com::Computer Science::4th Year",
Room 20,run_adf91595,Female_Computer Science_Yr4th Year,0.9953,"Student_e9e05d5f::student_e9e05d5f@example.com::Computer Science::4th Year,Student_081dc096::student_081dc096@example.com::Computer Science::4th Year,Student_95ace3a5::student_95ace3a5@example.com::Computer Science::4th Year",
Room 21,run_adf91595,Female_Computer Science_Yr4th Year,0.9952,"Student_5d96526f::student_5d96526f@example.com::Computer Science::4th Year,Student_9cc62302::student_9cc62302@example.com::Computer Science::4th Year,Student_37f633d2::student_37f633d2@example.com::Computer Science::4th Year",
Room 22,run_adf91595,Female_Computer Science_Yr4th Year,0.9951,"Student_bc2f3f84::student_bc2f3f84@example.com::Computer Science::4th Year,Student_3032239f::student_3032239f@example.com::Computer Science::4th Year,Student_c1e1ee9c::student_c1e1ee9c@example.com::Computer Science::4th Year",
Room 23,run_adf91595,Female_Computer Science_Yr4th Year,0.995,"Student_50d4e59a::student_50d4e59a@example.com::Computer Science::4th Year,Student_268134c6::student_268134c6@example.com::Computer Science::4th Year,Student_0965d335::student_0965d335@example.com::Computer Science::4th Year",
Room 24,run_adf91595,Female_Computer Science_Yr4th Year,0.995,"Student_097609d6::student_097609d6@example.com::Computer Science::4th Year,Student_1df553ec::student_1df553ec@example.com::Computer Science::4th Year,Student_46cea361::student_46cea361@example.com::Computer Science::4th Year",
Room 25,run_adf91595,Female_Computer Science_Yr4th Year,0.9948,"Student_96ab4310::student_96ab4310@example.com::Computer Science::4th Year,Student_b5ba6146::student_b5ba6146@example.com::Computer Science::4th Year,Student_a93a99ab::student_a93a99ab@example.com::Computer Science::4th Year",
Room 26,run_adf91595,Female_Computer Science_Yr4th Year,0.9948,"Student_70bc0d89::student_70bc0d89@example.com::Computer Science::4th Year,Student_a987e452::student_a987e452@example.com::Computer Science::4th Year,Student_45cb34db::student_45cb34db@example.com::Computer Science::4th Year",
Room 27,run_adf91595,Female_Computer Science_Yr4th Year,0.9945,"Student_8ce1abcb::student_8ce1abcb@example.com::Computer Science::4th Year,Student_b430b5bb::student_b430b5bb@example.com::Computer Science::4th Year,Student_4bd81322::student_4bd81322@example.com::Computer Science::4th Year",
